community_area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Austin,564,711,963,1090,913,870,741,873,491,379,389,359,337,327,266,91,87,246,159,194,201
East Garfield Park,81,141,237,281,259,226,157,149,96,73,50,60,52,52,30,11,14,33,30,24,34
Humboldt Park,265,318,495,714,615,562,453,403,266,150,153,112,137,106,88,35,17,73,51,82,91
Lower West Side,34,52,71,124,141,153,142,118,76,47,35,32,39,19,18,9,9,3,13,10,22
Near West Side,84,111,198,271,327,463,388,347,175,90,68,45,53,50,57,15,13,49,33,38,58
North Lawndale,178,249,368,415,357,317,260,291,160,112,111,98,89,111,94,33,26,63,50,62,65
South Lawndale,98,123,207,320,382,380,300,328,169,114,99,71,58,43,48,20,11,41,28,28,38
West Garfield Park,119,191,262,231,204,182,112,156,94,79,66,58,41,47,49,22,13,31,38,33,41
West Town,130,146,263,441,584,479,412,319,182,96,75,55,66,59,60,28,19,66,43,46,66
